"Dinophysis";"Dinophysis + phalacroma";"Dinophysis acuminata";"Dinophysis caudata";"Dinophysis tripos";"Dinophysis acuta";"Dinophysis sacculus";"Dinophysis fortii";"Dinophysis hastata + odiosa";"Code.Region";"Code_point_Libelle";"Year";"Month";"Date";"Heure";"Code.parametre";"Longitude";"Latitude";"ID.interne.passage";"Day";"Dinophysis_genus";"log_c";"true_count"
0;0;0;0;0;0;0;0;0;11;"At so";2017;9;2017-09-07;"13:54:00";"FLORTOT";1,4745046439;50,2312831163;60610627;250;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;9;2017-09-22;"13:48:00";"FLORTOT";1,4745046439;50,2312831163;60611831;265;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;10;2017-10-09;"15:10:00";"FLORTOT";1,4745046439;50,2312831163;60612836;282;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;10;2017-10-25;"15:40:00";"FLORTOT";1,4745046439;50,2312831163;60627407;298;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;11;2017-11-09;"14:15:00";"FLORTOT";1,4745046439;50,2312831163;60628058;313;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2017;12;2017-12-20;"13:10:00";"FLORTOT";1,4745046439;50,2312831163;60630224;354;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2018;2;2018-02-19;"13:45:00";"FLORTOT";1,4745046439;50,2312831163;60643821;50;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2018;3;2018-03-06;"14:32:00";"FLORTOT";1,4745046439;50,2312831163;60650285;65;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2018;3;2018-03-30;"11:57:00";"FLORTOT";1,4745046439;50,2312831163;60651923;89;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2018;4;2018-04-13;"11:10:00";"FLORTOT";1,4745046439;50,2312831163;60653104;103;0;0;0
0;0;0;0;0;0;0;0;0;11;"At so";2018;5;2018-05-04;"15:10:00";"FLORTOT";1,4745046439;50,2312831163;60655466;124;0;0;0
